"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"4YZ56G49","journalArticle","2016","Zappa, Paola","Toward a Multilevel Social Exchange Theory of Advice Relations in Organizations","Academy of Management Proceedings","","0065-0668","10.5465/ambpp.2016.15846abstract","https://journals.aom.org/doi/abs/10.5465/ambpp.2016.15846abstract","What motivates organizational members to seek and give advice, contributing to informal knowledge transfer and sharing in organizational settings? To answer this question, extant literature proposes two competing views. One view builds on social exchange theory to argue that organizational members try to exchange status recognition for advice. The other view claims that the motivation to release information and exchange knowledge is triggered by the relational dimensions of trust, norms, and obligations. To advance our understanding of the motivations behind advice relations we propose a unified view of social exchange theory. We test the hypothesis that advice seeking and giving are shaped differently by the presence of the formal organizational structure, which embeds advice relations in hierarchical orderings of various strength. Empirical analysis of advice seeking ties among the around 200 members of a multiunit organization provides support to the coexistence between the two perspectives postulated. Results indicate that advice relations between members of the same organizational subunits are shaped by hierarchical ordering. Advice is likely to be exchanged with status recognition, either socially or formally defined, and advice seeking relations are likely to be non mutual. When linking organizational members formally connected across subunits boundaries, advice relations are shaped by interpersonal trust. Advice is likely to be exchanged with advice, and advice seeking relations are likely to be mutual.","2016-01","2022-10-03 04:22:10","2022-10-03 04:22:10","2022-10-03 04:22:10","15846","","1","2016","","Proceedings","","","","","","","","","","","","","journals.aom.org (Atypon)","","Publisher: Academy of Management","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AFM5G3LY","thesis","","Zenisek, Joseph M.","How Do Youth and Adults at a Rural High School Conceptualize the Role of Student? An Investigation of the Student Role Identity Standard at the Intersection of Student and Teacher Perspectives","","","","","https://www.proquest.com/docview/1561556720/abstract/12713CC517F44249PQ/1","Over the past decade, engaging student voice has emerged as an approach to increasing meaningful student involvement in schools towards meeting adolescents' developmental needs for agency, efficacy, and sense of belonging. Central to student voice work is the re-creation of student-teacher and student-organization relationships, generating student identity roles that are fundamentally different from the roles traditionally allocated to students. Conventional concepts of student roles by both adults and youth can act as barriers to increasing student voice. The goal of this study was to develop a better understanding of student role identity. Applying a critical ethnography approach in the context of participatory action research, a situated description of the student role within the organizational context of a rural high school was developed from the perspectives of students and teachers through the use of an online software platform. Keeping with student voice values and participatory action research protocols, students took a central role in developing and piloting survey questions, interpreting and organizing responses, reviewing the results, and presenting them to the school community. The data revealed both the aspirations and limitations of the student and teacher conceptions of the student role. Conventional notions of student identity dominated the role descriptions, and were generally consistent across student and teacher responses. Significant areas of divergence between student and teacher constructs included the explicit temporal orientation toward the future exclusive to the student responses, the engagement in academics that dominated the teacher submissions and rankings, and the conception of the student as a citizen/community member that was found only in the teacher responses. The results suggested an inclination on the part of both students and teachers to increase opportunities for students to inform and influence policies and practices at all levels of the school organization. Presentations of the study results to the school community by the student researchers have induced some systemic reform toward promoting student voice.","","2022-10-03 04:23:34","2022-10-03 04:23:34","2022-10-03 04:23:34","","242","","","","","How Do Youth and Adults at a Rural High School Conceptualize the Role of Student?","","","","","Portland State University","United States -- Oregon","English","Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.","Ed.D.","","","ProQuest","","ISBN: 9781321061642","","","","","Social sciences; Psychology; Education; Rural education; Student engagement; Student role; Student voice; Student-teacher relationships","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KQ4W2XY3","journalArticle","2017","Zgambo, Humphreys Frackson","An inquiry into ethnicity in the structures of the church: the case of Malawi","Open Science Journal","","2466-4308","10.23954/osj.v2i3.1105","https://osjournal.org/ojs/index.php/OSJ/article/view/1105","Ethnicity, tribalism and xenophobia could be found inside and outside church walls. Ethnic and racist behaviours in human beings are natural, learned and nurtured within societies around the world. However, ethnic identity and relations exist whether the ethnic groups are competing or not. The first challenge of the early church in the New Testament Church was to overcome ethnicity and hostile divisions between Jews and Gentles. The New Testament Church’s principles of open plural government overcame the phenomenon. The contemporary church is in dilemma to understand its archaic church polity and order in her own challenging context today.","2017-08-25","2022-10-03 04:23:41","2022-10-03 04:23:41","2022-10-03 04:23:41","","","3","2","","","An inquiry into ethnicity in the structures of the church","","","","","","","en","Copyright (c) 2017 Open Science Journal","","","","osjournal.org","","Number: 3","","","","","church; church government.; ethnic divisions; Ethnicity; influences; plurality","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7X2HK3FW","thesis","2014","Zhakata, Norwell","Control, value, sense and system : dimensions of hierarchy in selected knowledge management theories","","","","","https://scholar.sun.ac.za:443/handle/10019.1/86231","ENGLISH ABSTRACT: Knowledge management is an organisational science field that is viewed by many as a  panacea to the challenge of successfully managing knowledge intensive organisations.  Knowledge management is marked by a clear departure from traditional management  thinking that viewed the ideal organisation as a bureaucracy with a clear hierarchical  structure. Much of this has been the natural result of advances in information  technology making new ways of working possible, but frequently, flatter structures are  advocated on the assumption that knowledge work is necessarily stifled in hierarchical  structures.  The thesis sets out to show that whilst this assumption might be true, it can also be  ideological if based on a naive conception of hierarchy and organisation. This is done by  describing various notions of hierarchy that go beyond the pure bureaucratic form.  Thereafter it is demonstrated that these more nuanced notions of hierarchy lie at the core  of some of the foundational knowledge management theories.  The first chapter gives an overview of management thinking; connecting and  contrasting scientific management with knowledge management. The case is made for  why many assume that knowledge management is inherently anti-hierarchical.  The second chapter describes the various notions of hierarchy by tracing the historical  origins of the word and exploring how it has found multiple meanings in the context of  society and organisations. Four prominent usage contexts of the notion of hierarchy  emerge. The first usage is that of control where hierarchy refers to bureaucracies. The  second usage examines the use of hierarchy in identifying various organisational  cultures (Markets, Clans, Adhocracies and Hierarchies). The third usage applies to  organisation sensemaking levels. The fourth usage refers to the use of hierarchy as it  applies to organisations as the coupling of systems and subsystems.  In the third chapter it is demonstrated to what extent each of these notions of hierarchy  informs selected mainstream knowledge management theories. It is argued that there are  multiple contexts in which the notion of hierarchy can be used and observed in  knowledge management thinking.  The fourth chapter concludes by restating the multiple meanings of organisational hierarchy and discussing the implications for knowledge management. The thesis comes  to the conclusion that the notion of hierarchy is readily acknowledged and used in  knowledge management thinking, albeit in different contexts and in more nuanced ways  than merely as control. What is needed is to take these various contexts into account  before a claim can be made that hierarchy is bad or good for knowledge management. A  better conceptualisation of what is meant by hierarchy shows that such blanket claims  are neither accurate nor instructive.","2014-04","2022-10-03 04:25:28","2022-10-03 04:25:28","2022-10-03 04:25:28","","","","","","","Control, value, sense and system","","","","","Stellenbosch : Stellenbosch University","","en_ZA","Stellenbosch University","Thesis","","","scholar.sun.ac.za","","Accepted: 2014-04-16T17:28:19Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PT3G8SBC","thesis","2009","Zhang, Feng","Chinese primacy in East Asian history: Deconstructing the tribute system in China's early Ming Dynasty.","","","","","https://etheses.lse.ac.uk/2737/","The ""tribute system"" has been the central organizing concept for our thinking about historical East Asian politics since the 1940s. Despite its dominance in the literature, however, the concept remains ill-defined and underspecified. The extant frameworks constructed around the concept also have not been evaluated conceptually and empirically in a systematic way. Most importantly, the tribute system, as an important institution for interstate relations in East Asian history, remains undertheorized in the existing literature. This thesis identifies three interrelated ways in which the ""tribute system"" concept has been used in the literature and argues that they all encounter problems in interpreting or explaining historical East Asian politics. The thesis deconstructs this concept by developing a theory of Chinese primacy in historical East Asia and by evaluating it against evidence from early Ming China's (1368-1424) relations with Korea, Japan, and the Mongols. The theory and evidence show that East Asian politics under the condition of Chinese primacy or unipolarity are best described as the dynamics between China's political/military domination and other states' accommodation and resistance. A variety of motives and strategies that China and its neighbours can employ toward each other are identified. The multiplicity of the relations between China and its neighbours suggests the need to deconstruct the analytical category of the ""tribute system"" and develop new conceptualizations about historical East Asian politics. The thesis calls for new thinking about historical East Asian politics, contributes to theorizing in this field by developing a synthetic theory of Chinese primacy that draws on both realist and constructivist theories of International Relations, and evaluates some persistent myths about Chinese foreign policy and East Asian politics in history.","2009","2022-10-03 04:25:36","2022-10-03 04:25:36","2022-10-03 04:25:36","","","","","","","Chinese primacy in East Asian history","","","","","London School of Economics and Political Science","","en","","phd","","","etheses.lse.ac.uk","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V43JFHYS","journalArticle","2018","Zhang, Jianhua","Intercity relationships within urban agglomeration and their impacts on urban economic development in the case of GuangdongHong Kong-Macau Greater Bay Area, China","","","","","https://thesis.eur.nl/pub/46511/","Urban agglomerations are the results of flows of production factors and industrial division of labour among cities within a specific geographic area. In the context of economic globalization and regional integration, urban agglomerations have become important spatial units that represent a country’s participation in international competition and complementarity. The development of urban agglomerations should be conducive to the optimal allocation of resources within the region. However, cities mostly ignore the interests of the other cities to attract capital, business, talent and investment, thus promoting their own economic development. This often leads to regional problems such as industry contradiction, function duplication, and uneven development levels among cities. Therefore, how to understand cities’ positions within urban agglomeration, and how to promote economic development through complementarity-ness is a significant or worthwhile research subject. This study uses 11 cities from Guangdong-Hong Kong-Greater Bay Area, one of the most developed urban agglomerations in China, to explore above questions. These 11 cities show a clear hierarchy in terms of political positions, economic development levels, comparative advantages and industrial characteristics. Since 1980s, based on their own comparative advantages, a strong network of competition and complementarity has formed among these cities. However, several factors have also led to fierce disorderly competition and unscientific complementary behaviors among these cities. First, due to the fact that Hong Kong, Macau, and PRD’s mainland cities enjoy three different administrative, currency and economic systems, the complementary obstacles between these three regions always exist. Second, due to the lack of scientific regional development guidance, cities tend to develop similar highvalued industries, even in the case they do not have the comparative advantages. This leads to geographic and functional niche overlaps among cities. In this context, research set out to find out how cities within GBA can develop their economies by dealing well with the competition and complementary relationships with each other. Starting from analyzing the overall characteristics of intercity relationships, this thesis analyzed the economic spatial distribution of GBA, urban economic network among cities, and the industrial division of labour. After the description of the overall characteristics of intercity relationships, in the second section, intercity relationships were defined as three types: competition, complementary, and non-relation. Based on results of D-S model, each two cities were evaluated as one of the three intercity relationships in terms of three sectors of industries, either competition, complementary, or non-relation. Finally, intercity competition and complementary relationships were considered as one of the factors influencing urban economic development to analyze the impacts of intercity relationships on urban economy. In terms of policy recommendations, it is important to design a regional management mechanism that considers the integrity of GBA. Also, it is crucial to establish a benefit sharing and compensation mechanism, as well as a cooperative incentive system for the better development of the less developed regions. What is more, multiple parties should be encouraged to participate in urban complementarity relationships. It not only provides opportunities for small private enterprises, it also stimulates the motivation of multiparticipators to participate in cross-regional cooperation.","2018-09-03","2022-10-03 04:25:40","2022-10-03 04:25:40","2022-10-03 04:25:40","","","","","","","","","","","","","","en","","","","","thesis.eur.nl","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KQLUEZ23","journalArticle","2012","Zhang, Yongjin; Buzan, Barry","The Tributary System as International Society in Theory and Practice","The Chinese Journal of International Politics","","1750-8916","10.1093/cjip/pos001","https://doi.org/10.1093/cjip/pos001","How have different cultures and peoples constructed their political communities and organized their international life in history? In which ways has order been differently conceptualized and pursued through a diverse range of institutional practices in different cultural and world historical contexts, and why? What were world orders like before the rise of capitalism and the expansion of Europe and the imposition of the Westphalian model? How is it possible to explain why different international societies, as we understand them today, have created different fundamental institutions and adopted radically different institutional designs in their pursuit of peace and cooperation across space and time? Why is it important to consider the transformation of international orders beyond European history in theorizing International Relations? From where does the current global order emerge in deep world historical terms? These are among a number of key questions raised in collective critical reflections on and re-evaluation of the theorizing enterprise within the discipline of International Relations (IR). They are questions that have been explored and interrogated during the last two decades as part of our efforts to understand the still unfolding systemic transformation of international relations. The search for answers to these questions marks a discernible turn in the studies of IR to History.","2012-03-01","2022-10-03 04:25:42","2022-10-03 04:25:42","2022-10-03 04:25:42","3-36","","1","5","","The Chinese Journal of International Politics","","","","","","","","","","","","","Silverchair","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6Z35TQFW","journalArticle","2018","Zhang, Zhan; Sarcevic, Aleksandra","Coordination Mechanisms for Self-Organized Work in an Emergency Communication Center","Proceedings of the ACM on Human-Computer Interaction","","","10.1145/3274468","https://doi.org/10.1145/3274468","We describe an observational study of work coordination in an emergency communication center, where a collocated team of communication specialists engages in complex activities of communicating with pre-hospital medical teams, and coordinating patient care and transport. Unlike teams with clearly defined work roles and team structures that were introduced to increase work efficiency and minimize redundancy, the team we studied lacks the role differentiation. To better understand how complex work is accomplished under these conditions, we conducted in-situ observations in the center's control room and interviewed communication specialists. We found that communication specialists self-organized by using a mix of material and immaterial coordination mechanisms, including work schedules, computer systems, and tacit agreements to coordinate tasks. Using these findings, we then identified three features of self-organized, collocated and time-critical teamwork that require technology support: awareness of task ownership, task self-assignment, and informal team hierarchy. We conclude by discussing technology requirements to support these teamwork features.","2018-11-01","2022-10-03 04:25:44","2022-10-03 04:25:44","2022-10-03 04:25:44","199:1–199:21","","CSCW","2","","Proc. ACM Hum.-Comput. Interact.","","","","","","","","","","","","","November 2018","","","","","","","division of labor; coordination mechanisms; role differentiation; awareness; articulation work; centers of coordination; emergency medical communication; emergency medical services; team hierarchy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LKW6TTKR","journalArticle","2016","Zheng, Ruiwen","The Relationships between Confucian Family Values and Attitudes toward Divorce in Mainland China: An Exploratory Study","Dissertations - ALL","","","","https://surface.syr.edu/etd/611","","2016-08-01","2022-10-03 04:25:45","2022-10-03 04:25:45","","","","","","","","The Relationships between Confucian Family Values and Attitudes toward Divorce in Mainland China","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4TFXP99V","conferencePaper","2018","Ziolkowski, Rafael; Miscione, Gianluca; Schwabe, Gerhard","Consensus through Blockchains: Exploring Governance across interorganizational Settings","Ziolkowski, Rafael; Miscione, Gianluca; Schwabe, Gerhard  (2018). Consensus through Blockchains: Exploring Governance across interorganizational Settings.  In: International Conference of Information Systems (ICIS 2018), San Francisco, USA, 12 December 2018 - 16 December 2018, ICIS.","","","10.5167/uzh-160378","https://www.zora.uzh.ch/id/eprint/160378/","The blockchain technology challenges the view on established modes of governance by offering distributed authentication without the need for a central authority, which is well-exemplified by Bitcoin. While the governance of and through Bitcoin is well- accentuated in research, we spotlight impacts on governance which blockchain-based systems bring to inter-organizational settings as well as their purpose. To build our arguments, we explore those impacts on two contrasting cases from the domains of automotive and public administration and relate them to cryptocurrencies. Relying on interviews with experts from said organizations utilizing blockchain technology, and a content analysis of related grey literature, we discuss established forms of governance as well as platforms and infrastructures against the impacts which blockchain-based systems cause. After referring those to the concepts of markets, hierarchies, networks, and tribes, we critically reflect on their purpose by utilizing the notions of infrastructures and platforms, and conclude blockchain-based systems to possibly alter the way established modes of governance are enacted.","2018-12-16","2022-10-03 04:25:47","2022-10-03 04:25:47","2022-10-03 04:25:47","","","","","","","Consensus through Blockchains","","","","","ICIS","San Francisco, USA","eng","info:eu-repo/semantics/openAccess","","","","www.zora.uzh.ch","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","International Conference of Information Systems (ICIS 2018)","","","","","","","","","","","","","","",""
